Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-08-29T01:37:20.482Z","Usage-based","claude-4-sonnet","No","15529","11947","1396548","2054","1426078","0.54"
"2025-08-29T01:33:20.432Z","Usage-based","claude-4-sonnet","No","7508","4821","578312","1549","592190","0.24"
"2025-08-29T01:31:50.826Z","Usage-based","claude-4-sonnet","No","6785","5720","256198","641","269344","0.13"
"2025-08-29T01:29:47.034Z","Usage-based","claude-4-sonnet","No","5339","20","643172","1618","650149","0.24"
"2025-08-29T01:28:43.903Z","Usage-based","claude-4-sonnet","No","744","110","109837","410","111101","0.04"
"2025-08-29T01:27:49.626Z","Usage-based","claude-4-sonnet","No","373","112","54324","328","55137","0.02"
"2025-08-29T01:27:01.012Z","Usage-based","claude-4-sonnet","No","1264","113","160344","1009","162730","0.07"
"2025-08-29T01:26:18.679Z","Usage-based","claude-4-sonnet","No","979","155","104390","583","106107","0.04"
"2025-08-29T01:24:40.665Z","Usage-based","claude-4-sonnet","No","3174","130","452128","1417","456849","0.17"
"2025-08-29T01:23:34.063Z","Usage-based","claude-4-sonnet","No","2001","156","191149","606","193912","0.07"
"2025-08-29T01:21:16.790Z","Usage-based","claude-4-sonnet","No","3481","145","222538","1260","227424","0.10"
"2025-08-29T01:19:37.912Z","Usage-based","claude-4-sonnet","No","29172","109376","57344","13784","209676","0.20"
"2025-08-29T01:15:31.021Z","Usage-based","claude-4-sonnet","No","10908","109","3139569","6037","3156623","1.07"
"2025-08-29T01:12:37.705Z","Usage-based","claude-4-sonnet","No","8507","105","1866112","3191","1877915","0.64"
"2025-08-29T01:06:00.048Z","Usage-based","claude-4-sonnet","No","19531","104","2343394","9975","2373004","0.93"
"2025-08-29T01:01:54.503Z","Usage-based","claude-4-sonnet","No","34905","144","2413544","10914","2459507","1.02"
"2025-08-29T00:59:27.761Z","Usage-based","claude-4-sonnet","No","1254","4299","94699","3765","104017","0.10"
"2025-08-29T00:57:01.611Z","Usage-based","claude-4-sonnet","No","2284","111","372281","2039","376715","0.15"
"2025-08-29T00:55:26.827Z","Usage-based","claude-4-sonnet","No","4535","120","267311","1204","273170","0.12"
"2025-08-29T00:54:49.530Z","Errored, Not Charged","claude-4-sonnet","No","3633","105","423636","1766","429140","Included"
"2025-08-29T00:53:59.216Z","Usage-based","claude-4-sonnet","No","5567","428","479937","2154","488086","0.20"
